t_scen,mean_concen
1460.0,3.34035e-83
2920.0,0.0
4380.0,9.6845e-07
5840.0,0.0
7300.0,1.39065285e-05
8760.0,0.00015167248383333334
10220.0,0.0007590831833333333
11680.0,0.003208920451666667
13140.0,0.009768711099999997
14600.0,0.023195447666666664
16060.0,0.04668695133333333
17520.0,0.08204361666666667
18980.0,0.13126607999999998
20440.0,0.19407181333333334
21900.0,0.26743917166666664
23360.0,0.34712639999999995
24820.0,0.4289604999999999
26280.0,0.5094658000000001
27740.0,0.5860411833333335
29200.0,0.6566005000000001
30660.0,0.7202289
32120.0,0.77942265
33580.0,0.8322687333333333
35040.0,0.8790150166666665
36500.0,0.9199009666666668
