real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2,real_name,mean_conc,salinity,total_pump_rate,ar_rate_total,wetland_dd,ar_rate_t,pf_salinity,pf_wetland_dd,mean_conc_sd,salinity_sd,ar_rate_total_sd,wetland_dd_sd
gen=0_member=25,-0.53353,-3.504,-4.67215,-0.363576,-0.878496,-2.7954,-4.2864,-1.69191,2.65612,1.39031,gen=0_member=25,9e-05,9e-05,18.7255,4.04643,3.67725,4.04643,1,1,0,0,0,0
gen=0_member=27,-2.87513,-0.504652,-4.11196,-3.50738,-0.804599,-2.59982,-2.27008,-2.79827,3.29935,0.475657,gen=0_member=27,9.83e-05,9.83e-05,19.4719,3.77501,3.91375,3.77501,1,1,0,0,0,0
gen=0_member=28,-1.99039,-0.0543033,-0.249687,-0.408919,-0.814505,-0.160091,-2.66681,-3.0298,2.22679,0.981857,gen=0_member=28,0.0,0.0,9.3745,3.20865,1.48615,3.20865,1,1,0,0,0,0
gen=0_member=32,-0.475806,-4.18022,-2.29634,-0.832285,-2.46998,-3.71106,-2.82098,-2.28009,0.104592,3.78663,gen=0_member=32,6.59e-06,6.59e-06,19.0668,3.89122,3.80125,3.89122,1,1,0,0,0,0
gen=0_member=33,-3.95995,-1.54873,-1.61312,-3.76283,-0.198888,-1.95589,-2.58389,-3.15732,3.13658,0.84655,gen=0_member=33,5.07e-24,5.07e-24,18.7806,3.98313,3.70345,3.98313,1,1,0,0,0,0
gen=0_member=35,-2.51777,-1.00584,-1.88086,-4.34405,-0.306756,-2.64756,-3.44823,-3.45165,2.97892,3.20795,gen=0_member=35,0.000141934,0.000141934,19.6027,6.18687,3.33505,6.18687,1,1,0,0,0,0
gen=0_member=36,-3.71858,-3.07372,-4.19345,-1.96678,-0.702829,-4.18325,-1.04813,-4.51852,3.80644,6.38043,gen=0_member=36,2.77e-05,2.77e-05,23.4052,10.1869,3.33325,10.1869,1,1,0,0,0,0
gen=0_member=39,-0.90724,-1.69952,-3.84558,-3.95603,-3.75695,-0.764032,-0.857365,-2.6972,2.28882,2.60955,gen=0_member=39,6.46e-05,6.46e-05,18.4839,4.89837,3.37675,4.89837,1,1,0,0,0,0
gen=0_member=42,-0.668579,-2.36871,-1.35279,-1.84644,-4.21248,-4.03869,-1.09534,-0.889424,4.6781,4.78891,gen=0_member=42,0.0,0.0,16.4724,9.46701,3.3900000000000003e+38,9.46701,1,1,0,0,0,0
gen=0_member=43,-0.340747,-3.59449,-4.28111,-4.01989,-4.57755,-2.41205,-1.39054,-1.50589,1.55753,1.17908,gen=0_member=43,4.67e-35,4.67e-35,22.1223,2.73661,4.88615,2.73661,1,1,0,0,0,0
gen=0_member=44,-3.37332,-4.40342,-3.98035,-3.89891,-2.51057,-2.27585,-4.0177,-4.24384,2.05087,1.56217,gen=0_member=44,4.79191,4.79191,28.704,3.61304,6.85888,3.61304,1,1,0,0,0,0
